City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,porto de moz,-1.7483,-52.2383,29.41,70,18,1.6,BR,1686254720
321,half moon bay,37.4636,-122.4286,25.32,65,0,7.72,US,1686254680
322,genhe,50.7833,121.5167,7.39,98,91,1.82,CN,1686254720
323,rayachoti,14.05,78.75,29.92,56,100,7.44,IN,1686254720
324,usinsk,65.9939,57.5281,5.18,55,100,3.14,RU,1686254720
325,pakokku,21.3333,95.1,28.22,70,100,4.51,MM,1686254720
326,fare,-16.7,-151.0167,25.95,66,100,9.49,PF,1686254720
327,khonsa,27.0167,95.5667,23.94,72,56,1.65,IN,1686254720
328,nizwa,22.9333,57.5333,32.77,16,84,1.65,OM,1686254721
329,tura,25.5198,90.2201,25.9,79,100,2.51,IN,1686254722
330,biu,10.6129,12.1946,23.9,64,75,2.43,NG,1686254722
331,ballina,-28.8667,153.5667,13.77,83,1,3.83,AU,1686254722
332,praia da vitoria,38.7333,-27.0667,22.14,68,20,5.97,PT,1686254722
333,san javier,37.8063,-0.8374,22.21,79,62,0.45,ES,1686254722
334,meadow lake,34.8014,-106.5436,29.67,14,45,3.57,US,1686254722
335,clyde river,70.4692,-68.5914,-0.87,100,100,4.63,CA,1686254722
336,stettler,52.3168,-112.7186,29.86,28,18,1.54,CA,1686254722
337,severo-kurilsk,50.6789,156.125,6.56,77,18,5.65,RU,1686254722
338,geraldton,-28.7667,114.6,9.23,93,0,2.57,AU,1686254722
339,saint-pierre,-21.3393,55.4781,20.32,73,0,2.57,RE,1686254723
340,tessalit,20.1986,1.0114,36.75,11,0,2.59,ML,1686254539
341,homer,59.6425,-151.5483,13.21,78,100,0.45,US,1686254477
342,maniitsoq,65.4167,-52.9,2.76,64,54,2.43,GL,1686254723
343,bairiki,1.3292,172.9752,29.0,79,100,3.6,KI,1686254723
344,namwala,-15.7504,26.4384,22.66,38,100,1.67,ZM,1686254723
345,ancud,-41.8697,-73.8203,8.49,70,91,8.14,CL,1686254723
346,sahuaripa,29.05,-109.2333,35.52,14,84,4.46,MX,1686254723
347,havelock,34.8791,-76.9013,26.98,72,20,4.12,US,1686254723
348,scottsbluff,41.8666,-103.6672,27.62,61,75,4.12,US,1686254723
349,leningradskiy,69.3833,178.4167,0.66,95,94,3.41,RU,1686254723
350,mweka,-4.85,21.5667,21.95,80,16,0.72,CD,1686254723
351,san quintin,30.4833,-115.95,19.0,69,100,6.75,MX,1686254723
352,chuy,-33.6971,-53.4616,21.46,78,7,3.5,UY,1686254724
353,sinop,41.7711,34.8709,16.78,70,100,2.32,TR,1686254724
354,pasaquina,13.5844,-87.8411,33.37,51,100,2.69,SV,1686254724
355,lagoa,39.05,-27.9833,17.77,75,100,5.91,PT,1686254724
356,flinders,-34.5833,150.8552,12.99,74,0,0.89,AU,1686254724
357,nokaneng,-19.6667,22.2667,21.3,24,0,1.4,BW,1686254724
